Year,game_num,heat_top_3_pts,opponent_top_3_pts,heat_pts,opponent_pts,Spread,heat_fg_perc,opponent_fg_pct,heat_3pt_perc,opponent_3pt_perc,heat_ft_perc,opponent_ft_perc,heat_off_reb,opponent_off_reb,heat_def_reb,opponent_def_reb,heat_assists,opponent_assists,heat_blocks,opponent_blocks,heat_steals,opponent_steals,heat_turnovers,opponent_turnovers,heat_pts_paint,opponent_pts_paint,heat_fouls,opponent_fouls,location,heat_rest_days,time,opponent_rest_days,heat_num_injuries,heat_signif_injuries,opponent_num_injuries,opponent_signif_injuries,heat_winning_streak,opponent_winning_streak,opponent,win_rank,pts_rank,reb_rank,ast_rank,plus_minus_rank,opponent_team_rank,opp_mov_avg,heat_win_rank,heat_pts_rank,heat_reb_rank,heat_ast_rank,heat_plus_minus_rank,heat_team_rank,heat_mov_avg,diff_mov,won
2020,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,6.5,2,0,0,2,3,3,0,Pacers,14,14,16,7,13,86.2,87.3375,1,5,15,5,4,96.45,94.425,7.0875,1
2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6.5,2,0,0,1,2,4,4,Bucks,3,6,1,2,7,96.45,96.45,1,10,7,5,4,96.25,96.25,-0.2,1
2020,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6.5,2,1,0,1,0,5,0,Bucks,4,5,3,2,7,95.85,96.15,1,7,7,6,2,96.9,96.575,0.425,1
2020,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,6.5,2,3,1,0,0,6,0,Bucks,6,5,3,4,7,94.55,95.61666667,1,7,8,6,4,96.7,96.61666667,1,1
2020,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3.5,2,2,0,1,5,7,0,Bucks,8,7,2,3,8,93.05,94.975,1,5,7,6,1,97.35,96.8,1.825,0
2020,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6.5,2,3,0,1,10,0,1,Bucks,6,6,2,5,8,94.35,94.85,1,5,8,4,3,97.25,96.89,2.04,1
2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6.5,4,1,0,2,1,1,1,Celtics,3,9,5,13,3,95.1,95.1,1,5,7,4,2,97.4,97.4,2.3,1
2020,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,2,0,0,2,1,2,0,Celtics,3,8,5,11,3,95.4,95.25,1,5,7,3,2,97.45,97.425,2.175,1
2020,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,8.5,2,1,0,2,0,3,0,Celtics,4,9,5,12,3,94.55,95.01666667,1,5,9,3,2,97.25,97.36666667,2.35,0
2020,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,8.5,4,1,0,1,0,0,1,Celtics,3,8,5,9,2,95.55,95.15,1,5,9,3,3,97.2,97.325,2.175,1
2020,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8.5,2,1,0,1,0,1,0,Celtics,4,8,4,9,3,95,95.12,1,5,9,4,2,97.2,97.3,2.18,0
2020,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,7.5,2,1,0,1,0,0,1,Celtics,4,8,4,9,2,95.05,95.10833333,2,5,10,4,3,96.45,97.15833333,2.05,1
2020,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,4,0,0,0,0,1,2,Lakers,1,3,8,1,1,97.9,97.9,1,5,11,3,2,97.05,97.05,-0.85,0
2020,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,2,0,0,0,0,0,3,Lakers,1,2,6,1,1,98.3,98.1,2,5,12,3,5,96.2,96.625,-1.475,0
2020,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,7.5,2,2,8,0,0,0,4,Lakers,1,2,6,1,1,98.3,98.16666667,2,5,12,3,6,96.15,96.46666667,-1.7,1
2020,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,9,2,2,3,0,0,1,0,Lakers,1,2,6,1,1,98.3,98.2,2,5,12,3,6,96.15,96.3875,-1.8125,0
2020,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,3,0,0,0,0,0,1,Lakers,1,4,7,1,1,97.8,98.12,2,6,12,3,6,95.95,96.3,-1.82,1
2020,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,7.5,2,1,0,1,0,1,0,Lakers,1,4,7,1,1,97.8,98.06666667,2,6,12,3,6,95.95,96.24166667,-1.825,0
